LOC_NAME,LOC_PID,Centroid_X,Centroid_Y,Google_Maps_Link,Suburb Name in Brisbane,Location in Brisbane
Lilyvale,locedbe07a94bf7,148.4182735,-23.14106275,"https://www.google.com/maps?q=-23.141062754642604,148.41827351900358",0,
Mackenzie,loc5737b0a3f799,149.4176975,-23.10988953,"https://www.google.com/maps?q=-23.1098895297003,149.4176974999135",1,No
Mackenzie,loc64ef957a5a71,153.124698,-27.54155084,"https://www.google.com/maps?q=-27.541550837107575,153.12469804258237",1,Yes
Maryvale,loc4ffc894b202e,152.2681841,-28.09292192,"https://www.google.com/maps?q=-28.09292192007782,152.26818407675302",0,
Maryvale,loce4dca180c853,150.6435989,-22.98249852,"https://www.google.com/maps?q=-22.98249852416254,150.64359886695053",0,
Montrose,locb3c104e1e258,151.779181,-28.16419726,"https://www.google.com/maps?q=-28.164197262582658,151.77918097006963",0,
Montrose,locec65dbf6447f,150.6148024,-27.00602711,"https://www.google.com/maps?q=-27.006027113328976,150.61480235669512",0,
Mount Archer,loc1e27c8fa9b94,150.5805788,-23.32872953,"https://www.google.com/maps?q=-23.328729527385605,150.5805788078124",0,
Mount Archer,loc65420773e705,152.6693374,-26.9942245,"https://www.google.com/maps?q=-26.99422449922733,152.66933742673768",0,
Mount Pleasant,loc06f700d30bd4,152.7695076,-27.15665093,"https://www.google.com/maps?q=-27.156650927818987,152.7695075793148",0,
Mount Pleasant,loc1127a391dda5,149.158889,-21.12207026,"https://www.google.com/maps?q=-21.122070264805103,149.1588889691858",0,
Mudjimba,loc5cad45dc58cf,153.115055,-26.61462107,"https://www.google.com/maps?q=-26.614621067224455,153.11505502493398",0,
Mudjimba,loc5cad45dc58cf,153.0972382,-26.61781429,"https://www.google.com/maps?q=-26.617814287370003,153.0972382213955",0,
Newtown,loca987c3f448f4,151.934387,-27.5515915,"https://www.google.com/maps?q=-27.551591501409575,151.93438698309473",1,No
Newtown,locc2e64848b820,152.7783516,-27.61596756,"https://www.google.com/maps?q=-27.61596755923084,152.77835162944348",1,Yes
North Branch,loc5934c8c6d027,151.6428999,-27.8495522,"https://www.google.com/maps?q=-27.84955220243242,151.6428998614181",0,
North Branch,loc97f1cccb89e5,152.3325488,-28.02198095,"https://www.google.com/maps?q=-28.021980945348496,152.33254881620766",0,
Preston,loc052ef85acfbb,151.962397,-27.6440696,"https://www.google.com/maps?q=-27.644069598545666,151.9623969822134",0,
Preston,loc0fbf68a9fbaa,148.6548126,-20.40662048,"https://www.google.com/maps?q=-20.40662047765274,148.65481257401441",0,
Rangemore,loca3631d5a5947,147.3686583,-20.00479509,"https://www.google.com/maps?q=-20.00479508888683,147.36865831624112",0,
Rangemore,locad49b45377f8,151.6665402,-26.99254868,"https://www.google.com/maps?q=-26.992548679010252,151.66654020614624",0,
Red Hill,loc0908961710a6,150.6902874,-26.6564608,"https://www.google.com/maps?q=-26.65646079809359,150.69028742516568",1,No
Red Hill,locccde9e1b7818,153.0030751,-27.45265391,"https://www.google.com/maps?q=-27.45265391430152,153.0030751433405",1,Yes
Richmond,loc6f281614c050,143.2806357,-20.63955022,"https://www.google.com/maps?q=-20.639550222624468,143.28063567767478",0,
Richmond,locab0f0e469c1d,149.1448946,-21.08193651,"https://www.google.com/maps?q=-21.08193650627005,149.1448945949198",0,
Rocky Point,loc391f9624ba6f,141.8830017,-12.62487818,"https://www.google.com/maps?q=-12.624878183130162,141.88300168125704",0,
Rocky Point,loc6d92064f9828,145.4011854,-16.39706573,"https://www.google.com/maps?q=-16.397065729264952,145.40118535209226",0,
Scrubby Creek,loc422b7440089b,145.7159046,-25.60944417,"https://www.google.com/maps?q=-25.609444169412786,145.71590459024338",0,
Scrubby Creek,locab76277c8fa6,152.5746709,-26.21930433,"https://www.google.com/maps?q=-26.219304333836412,152.57467094141595",0,
Shelly Beach,loc38068fa09667,146.7593118,-19.18692946,"https://www.google.com/maps?q=-19.186929463362212,146.75931180592644",0,
Shelly Beach,locb6be398409f5,153.1475972,-26.79685695,"https://www.google.com/maps?q=-26.796856945408866,153.14759719821743",0,
South Wellesley Islands,locff5a4670797d,139.3733044,-17.0053535,"https://www.google.com/maps?q=-17.00535350267631,139.37330444344124",0,
South Wellesley Islands,locff5a4670797d,139.4822834,-17.0818806,"https://www.google.com/maps?q=-17.08188060421906,139.48228339746518",0,
South Wellesley Islands,locff5a4670797d,139.381747,-17.02676577,"https://www.google.com/maps?q=-17.026765768063814,139.3817469658606",0,
South Wellesley Islands,locff5a4670797d,139.199249,-16.99397508,"https://www.google.com/maps?q=-16.993975084856714,139.19924895084594",0,
South Wellesley Islands,locff5a4670797d,139.5547021,-17.12245166,"https://www.google.com/maps?q=-17.12245165990553,139.55470210505584",0,
South Wellesley Islands,locff5a4670797d,139.2344951,-17.03597701,"https://www.google.com/maps?q=-17.035977005428602,139.2344950727592",0,
South Wellesley Islands,locff5a4670797d,139.2696205,-16.99422033,"https://www.google.com/maps?q=-16.99422032972536,139.26962054815706",0,
South Wellesley Islands,locff5a4670797d,139.3777929,-17.07222329,"https://www.google.com/maps?q=-17.072223292919084,139.3777929497767",0,
South Wellesley Islands,locff5a4670797d,139.3624644,-16.95565537,"https://www.google.com/maps?q=-16.955655372450884,139.36246443936534",0,
Spring Creek,loc2257dddc69e5,150.0560215,-25.44520222,"https://www.google.com/maps?q=-25.445202215483974,150.05602147672354",0,
Spring Creek,loc3f9a47ae4922,152.0203938,-27.95562739,"https://www.google.com/maps?q=-27.955627386146613,152.02039378586267",0,
Spring Creek,locb954aa636ca1,152.3358161,-27.44736822,"https://www.google.com/maps?q=-27.447368221897737,152.33581611288224",0,
Springfield,loca0ac51fc3784,152.9017825,-27.6492893,"https://www.google.com/maps?q=-27.64928930414975,152.90178248958702",1,Yes
Springfield,locab079846a466,144.5113331,-17.97253632,"https://www.google.com/maps?q=-17.972536322101814,144.51133311779887",1,No
St Helens,loc548be9868077,152.7087196,-25.4821081,"https://www.google.com/maps?q=-25.482108101105865,152.70871959463952",0,
St Helens,locc69cca27b965,151.4878012,-27.67419272,"https://www.google.com/maps?q=-27.67419271663388,151.48780115402718",0,
St Helens Beach,loc836c7b09aed3,148.8193996,-20.84487812,"https://www.google.com/maps?q=-20.844878116986298,148.81939957646958",0,
St Helens Beach,loc836c7b09aed3,148.8455377,-20.84575191,"https://www.google.com/maps?q=-20.845751905449326,148.84553767002018",0,
Stockyard,loc147a3cf25364,152.0635027,-27.65360688,"https://www.google.com/maps?q=-27.653606882955927,152.06350273925028",0,
Stockyard,loc18d899762851,150.704873,-22.84706832,"https://www.google.com/maps?q=-22.847068316932294,150.70487298424865",0,
Stonehenge,loc8bc981e1158d,151.381302,-28.1225492,"https://www.google.com/maps?q=-28.1225492037043,151.38130201508503",0,
Stonehenge,locfa605c1c3176,142.8937921,-24.3544789,"https://www.google.com/maps?q=-24.35447889516081,142.8937921379765",0,
Sugarloaf,loc8cde33f37e29,148.6294866,-20.31477833,"https://www.google.com/maps?q=-20.314778327397658,148.6294866425757",0,
Sugarloaf,locce24411f3c3e,152.0257583,-28.70502361,"https://www.google.com/maps?q=-28.705023607265073,152.02575825335418",0,
Sundown,loc6157718e9210,151.6766304,-28.84134828,"https://www.google.com/maps?q=-28.841348278698227,151.67663040298578",0,
Sundown,loccda78d57262b,146.0233711,-17.50015097,"https://www.google.com/maps?q=-17.50015096919432,146.02337105009775",0,
Tablelands,loc3c3c92c34a48,150.887484,-24.32660835,"https://www.google.com/maps?q=-24.32660835038504,150.8874840392403",0,
Tablelands,locbfe37e2877a5,151.9444812,-26.15909787,"https://www.google.com/maps?q=-26.159097874253764,151.94448120453046",0,
The Bluff,loc08194c04eb19,152.5365196,-27.6125363,"https://www.google.com/maps?q=-27.61253629674244,152.536519617307",0,
The Bluff,locf8563251f83e,152.1320686,-27.19379564,"https://www.google.com/maps?q=-27.193795637346213,152.1320686463975",0,
The Gap,loc4071ca7511a7,152.9407438,-27.44324199,"https://www.google.com/maps?q=-27.443241990618137,152.9407437940475",1,Yes
The Gap,locd101f030be53,139.4987107,-20.72507173,"https://www.google.com/maps?q=-20.725071726329123,139.49871065379006",1,No
Torres Strait,loc83879efdbe69,142.4100607,-10.7880145,"https://www.google.com/maps?q=-10.788014503751816,142.41006072463713",0,
